has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,scene_label,u,v,key
1.0,1.0,1.0,0.0,0.8196131066513273,0.3225857249714579,0.75,0.7935929666084338,1.0,alley,10148578463,10148578465,0
1.0,1.0,1.0,1.0,0.8403778003033089,0.34399921236585607,0.8482520169035728,0.7743570401452111,1.0,alley,10148578464,10148578465,0
1.0,1.0,1.0,0.0,0.8196131066513273,0.3225857249714579,0.75,0.7935929666084338,1.0,alley,10148578465,10148578463,0
1.0,1.0,1.0,1.0,0.8403778003033089,0.34399921236585607,0.8482520169035728,0.7743570401452111,1.0,alley,10148578465,10148578464,0
0.0,1.0,1.0,1.0,0.8335480546250966,0.8537151702786377,0.7533527696793003,0.8665936614274672,1.0,street,10821751973,10821751974,0
1.0,1.0,1.0,0.0,0.7789379854832548,0.648905529953917,0.8129496402877698,0.944479816630587,1.0,street,10821751973,6533297220,0
0.0,1.0,1.0,1.0,0.8335480546250966,0.8537151702786377,0.7533527696793003,0.8665936614274672,1.0,street,10821751974,10821751973,0
0.0,1.0,1.0,0.0,0.8188099444724887,0.7752045969005746,0.9079476861167002,0.7986812216052499,1.0,street,10909607967,10909607969,0
1.0,1.0,1.0,0.0,0.8160144791861699,0.7717096336499322,0.8357438016528925,0.7885539536915683,1.0,street,10909607967,8176038733,0
0.0,1.0,1.0,0.0,0.8188099444724887,0.7752045969005746,0.9079476861167002,0.7986812216052499,1.0,street,10909607969,10909607967,0
1.0,1.0,1.0,1.0,0.7771212917994246,0.9078417765440666,0.7904328018223234,0.8944226188634887,1.0,street,10909607969,10909607970,0
1.0,1.0,1.0,1.0,0.7771212917994246,0.9078417765440666,0.7904328018223234,0.8944226188634887,1.0,street,10909607970,10909607969,0
0.0,1.0,1.0,0.0,0.6516087097822554,0.49020522388059706,1.0,0.9843028924276893,1.0,street,10909607972,10909607975,0
1.0,1.0,0.0,0.0,0.8165262414189453,0.5805506063566872,0.9896917738313942,0.8386814438316584,1.0,street,10909607972,1381226690,0
1.0,1.0,1.0,1.0,0.7752027809965237,0.7683276059564719,1.0,0.9771469035663706,1.0,street,10909607973,10909607980,0
1.0,1.0,1.0,1.0,0.781752686168561,0.5681559476380194,0.9351927809680065,0.8978634867399541,1.0,street,10909607974,10909607976,0
0.0,1.0,1.0,0.0,0.6516087097822554,0.49020522388059706,1.0,0.9843028924276893,1.0,street,10909607975,10909607972,0
1.0,1.0,1.0,1.0,0.781752686168561,0.5681559476380194,0.9351927809680065,0.8978634867399541,1.0,street,10909607976,10909607974,0
1.0,1.0,1.0,1.0,0.7752027809965237,0.7683276059564719,1.0,0.9771469035663706,1.0,street,10909607980,10909607973,0
0.0,1.0,1.0,1.0,0.7872797794289452,0.5665641476274166,0.9849897657493746,0.8853373210586164,1.0,street,10940906114,11687243998,0
1.0,1.0,1.0,0.0,0.8360793870963561,0.3368129695531831,0.9935125115848007,0.8868824619851959,1.0,alley,10940906116,746912274,0
0.0,1.0,1.0,0.0,0.7997601918465228,0.6268515600378191,0.9931972789115646,0.9658588918339013,1.0,alley,10940906138,9768730552,0
1.0,1.0,0.0,0.0,0.7885000462092973,0.829801179812104,0.9882605968276728,0.6383968454453036,1.0,residential_neighborhood,10973702420,11664682737,0
1.0,1.0,1.0,0.0,0.8649483236702797,0.17358842743817082,1.0,0.9309931938492564,1.0,alley,11052291157,5521803231,0
1.0,1.0,1.0,0.0,0.8740890944807047,0.31471229659453104,0.9994222992489891,0.9138626618507488,1.0,alley,11052291157,9320329211,0
1.0,1.0,1.0,0.0,0.8514723886848379,0.4099783080260304,0.926829268292683,0.8420645660158516,1.0,alley,11079627106,9320329211,0
1.0,1.0,1.0,1.0,0.8880226789510985,0.42900385250412765,1.0,0.43620004313930916,1.0,alley,11173244239,394406245,0
1.0,1.0,1.0,1.0,0.8880226789510985,0.42900385250412765,1.0,0.43620004313930916,1.0,alley,11173244239,6544633979,0
1.0,1.0,1.0,1.0,0.8944434120052035,0.5328638497652582,1.0,0.9940531499721241,1.0,street,1123090447,6527779409,0
1.0,1.0,1.0,0.0,0.8277750278430888,0.2983653673432729,1.0,0.7504331147135256,1.0,alley,1123090448,11994926887,0
1.0,1.0,1.0,1.0,0.8457035333472716,0.8304878048780487,0.9998364409551849,0.6844867238135062,1.0,alley,1123090448,7201093997,0
1.0,1.0,1.0,0.0,0.9312546957175056,0.21857923497267762,0.9675675675675676,0.9000751314800901,1.0,street,1123090449,4798984169,0
1.0,1.0,1.0,1.0,0.8266550522648084,0.6360373295046662,1.0,0.4469885515181683,1.0,forest_road,1123090457,6527779415,0
1.0,1.0,1.0,0.0,0.8205325140809012,0.545827389443652,1.0,0.5437467997951869,1.0,alley,1123090457,7251659346,0
0.0,1.0,0.0,1.0,0.526454033771107,0.8556524035921818,0.9992268439771146,0.6874296435272045,1.0,crosswalk,11397265874,11397265875,0
