has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,scene_label,Cluster,u,v,key
1.0,1.0,1.0,0.0,0.5986238997276291,-1.3559451955775743,-3.269839193135955,0.5842208519456176,1.0,alley,2,10148578463,10148578465,0
1.0,1.0,1.0,1.0,0.6099708767961427,-1.2558542797113494,-1.908976785433109,0.5734381264018116,1.0,alley,0,10148578464,10148578465,0
1.0,1.0,1.0,0.0,0.5986238997276291,-1.3559451955775743,-3.269839193135955,0.5842208519456176,1.0,alley,2,10148578465,10148578463,0
1.0,1.0,1.0,1.0,0.6099708767961427,-1.2558542797113494,-1.908976785433109,0.5734381264018116,1.0,alley,0,10148578465,10148578464,0
0.0,1.0,1.0,1.0,0.6062529174168194,1.1266598862188053,-3.2234008770378373,0.6241151983586087,1.0,street,2,10821751973,10821751974,0
1.0,1.0,1.0,0.0,0.5760165488761329,0.1693387315293481,-2.397940561985031,0.6649944948378035,1.0,street,2,10821751973,6533297220,0
0.0,1.0,1.0,1.0,0.6062529174168194,1.1266598862188053,-3.2234008770378373,0.6241151983586087,1.0,street,2,10821751974,10821751973,0
0.0,1.0,1.0,0.0,0.5981824105546557,0.7596857894797326,-1.082148037331805,0.5870537417157765,1.0,street,5,10909607967,10909607969,0
1.0,1.0,1.0,0.0,0.596644253267454,0.7433496333818187,-2.0822247294301466,0.5814074462686681,1.0,street,2,10909607967,8176038733,0
0.0,1.0,1.0,0.0,0.5981824105546557,0.7596857894797326,-1.082148037331805,0.5870537417157765,1.0,street,5,10909607969,10909607967,0
1.0,1.0,1.0,1.0,0.5749948033425403,1.3796584517516002,-2.709815269229124,0.638914105492419,1.0,street,2,10909607969,10909607970,0
1.0,1.0,1.0,1.0,0.5749948033425403,1.3796584517516002,-2.709815269229124,0.638914105492419,1.0,street,2,10909607970,10909607969,0
0.0,1.0,1.0,0.0,0.5017497885580675,-0.5724581878871605,0.1928439420062828,0.6852676647644548,1.0,street,3,10909607972,10909607975,0
1.0,1.0,0.0,0.0,0.5969260187178773,-0.15016583028258587,0.050067458377229666,0.6090487081224151,1.0,street,6,10909607972,1381226690,0
1.0,1.0,1.0,1.0,0.5739146592171087,0.7275413606288278,0.1928439420062828,0.681654847733604,1.0,street,3,10909607973,10909607980,0
1.0,1.0,1.0,1.0,0.5775975349999756,-0.2081009400641573,-0.7047835155039289,0.6407287728064792,1.0,street,6,10909607974,10909607976,0
0.0,1.0,1.0,0.0,0.5017497885580675,-0.5724581878871605,0.1928439420062828,0.6852676647644548,1.0,street,3,10909607975,10909607972,0
1.0,1.0,1.0,1.0,0.5775975349999756,-0.2081009400641573,-0.7047835155039289,0.6407287728064792,1.0,street,6,10909607976,10909607974,0
1.0,1.0,1.0,1.0,0.5739146592171087,0.7275413606288278,0.1928439420062828,0.681654847733604,1.0,street,3,10909607980,10909607973,0
