has_crosswalk,has_traffic_sign,has_traffic_light,has_bicycle,obstruction_density,sidewalk_ratio,cycling_lane_coverage,greenery_ratio,road_condition,scene_label,highway,surface,Cluster,u,v,key
1.0,1.0,1.0,1.0,0.6097147435921682,0.7320633211258792,0.008050276520679316,0.40145782800074464,1.0,residential_neighborhood,tertiary,asphalt,0,5831452914,12233693924,0
1.0,1.0,1.0,1.0,0.6040321314136481,0.9322941272625196,0.07872974883949674,0.37906031870238865,1.0,residential_neighborhood,tertiary,asphalt,0,5831452914,12233693924,0
1.0,1.0,1.0,1.0,0.6008014765646454,0.7149599130340496,0.07872974883949674,0.39123854021932003,1.0,residential_neighborhood,tertiary,asphalt,0,5831452914,12233693924,0
1.0,1.0,1.0,1.0,0.6057898272160221,0.9652608814629451,0.07872974883949674,0.37993850765181575,1.0,residential_neighborhood,tertiary,asphalt,0,5831452914,12233693924,0
1.0,1.0,1.0,1.0,0.6047768655604364,0.6298156956338969,-0.14875644434012752,0.3882573724621129,1.0,residential_neighborhood,tertiary,asphalt,0,5831452914,12233693924,0
1.0,1.0,1.0,1.0,0.6043159668533294,0.9783146154809014,0.07872974883949674,0.37717503034758987,1.0,residential_neighborhood,tertiary,asphalt,0,5831452914,12233693924,0
1.0,1.0,1.0,1.0,0.605823314030592,0.9495239789291559,0.07872974883949674,0.37691189640450623,1.0,residential_neighborhood,tertiary,asphalt,0,5831452914,12233693924,0
1.0,1.0,1.0,1.0,0.6059908913812748,0.9722223841538821,0.07872974883949674,0.37462831122383744,1.0,residential_neighborhood,tertiary,asphalt,0,5831452914,12233693924,0
1.0,1.0,1.0,1.0,0.6047326227975237,0.7098845824605051,0.002174581888848826,0.39558251071000367,1.0,residential_neighborhood,tertiary,asphalt,0,5831452914,12233693924,0
1.0,1.0,1.0,1.0,0.6031888080990324,0.7613140600482576,0.06944450588591265,0.3949070028539572,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6194165348641146,0.7820532969593609,0.07872974883949674,0.4026400739871099,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.6043906364862793,0.9572666026740783,0.07872974883949674,0.3802923672019412,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
1.0,1.0,1.0,1.0,0.5813657646317191,1.0900049559847558,-0.58638703679101,0.3973180435483679,1.0,residential_neighborhood,tertiary,asphalt,0,12233693924,5831452914,0
