u,v,key,sidewalk_description,has_left_sidewalk_status,has_right_sidewalk_status,is_crossing_status,bicycle_status,cycleway_lane_type,cycleway_description,cycleway_left_lane_type,cycleway_right_lane_type,cycleway_class,cycleway_left_class,cycleway_right_class,parking_left_description,parking_right_description,width_comp,lit_comp,maxspeed_comp,segregated_comp,crossing_tag_comp,edsa_accident_comp,motor_vehicle_comp
25583820,6533235862,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583820,6533235869,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583838,237041030,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583838,5480867410,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583855,25583865,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583855,5480867401,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583855,5480867407,0,no_sidewalk,False,False,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,0,0,0,0,0
25583865,25583855,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583865,237031647,0,has_sidewalk,True,True,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,0,0,0,0,0
25583865,6332734530,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583881,25583990,0,no_sidewalk,False,False,False,yes,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,-1,0,0,0,0
25583881,2184946329,0,has_sidewalk,True,True,False,yes,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,-1,0,0,0,0
25583881,7198365484,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583881,8679915811,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583894,7197965237,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583894,8014843350,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583898,237022134,0,has_sidewalk,True,True,False,yes,lane,yes,unknown_but_one_of_the_two_must_exist,unknown_but_one_of_the_two_must_exist,class 3,unknown_but_one_of_the_two_must_exist,unknown_but_one_of_the_two_must_exist,unknown,unknown,0.0,-1,0,0,0,0,0
25583898,6369607704,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583898,7223603444,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583914,476288497,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583914,6534482775,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583914,6773524988,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583974,1467951842,0,no_sidewalk,False,False,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,0,1,0,0,0,0
25583975,1467951878,0,no_sidewalk,False,False,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,0,1,0,0,0,0
25583985,6533422543,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583985,6698510289,0,has_sidewalk,True,True,False,yes,lane,yes,unknown_but_one_of_the_two_must_exist,unknown_but_one_of_the_two_must_exist,class 3,unknown_but_one_of_the_two_must_exist,unknown_but_one_of_the_two_must_exist,unknown,unknown,0.0,0,0,0,0,0,0
25583986,6533422542,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583987,320810152,0,has_sidewalk,True,True,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,0,0,0,0,0
25583987,6524230841,0,has_sidewalk,True,True,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,0,0,0,0,0
25583989,7201094020,0,no_sidewalk,False,False,False,no,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,0,0,0,0,-1
25583990,25583881,0,no_sidewalk,False,False,False,yes,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,-1,0,0,0,0
25583990,4643617621,0,no_sidewalk,False,False,False,yes,no,no,no,no,no,no,no,unknown,unknown,0.0,-1,-1,0,0,0,0
25583990,6533422543,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583990,8679915812,0,has_sidewalk,False,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583992,25583993,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583992,1467966552,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583993,25583992,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583993,7197965251,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583995,6369607704,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583995,7197965249,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583997,7185202535,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583997,7393892397,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583998,7192358725,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583998,7192358731,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
25583999,7188430979,0,has_sidewalk,True,True,False,yes,lane,right,no,lane,class 3,no,class 3,unknown,unknown,0.0,-1,1,0,0,0,0
