u,v,key,score_weighted_by_main,score_weighted_by_sub,SU_bicycle,SU_CYCLEWAY_CLASS,SU_CYCLEWAY_LANE_TYPE,SU_foot,SU_highway,SU_ALLEY,SU_width,SU_lit,SU_maxspeed,SU_segregated,SU_sidewalk,SU_PARKING_SUBTAGS,SU_TAG_crossing,SU_EDSA_accident_component,SU_motor_vehicle,SU_FROM_IMAGES_cycling_lane_coverage,SU_FROM_IMAGES_greenery_ratio,SU_FROM_IMAGES_has_bicycle,SU_FROM_IMAGES_road_condition,MU_DISMOUNT,MU_convenience,MU_attractiveness,MU_traffic_safety,MU_security,MU_accident_risk,MU_traffic_volume,MU_safety_of_sidewalks_and_crossings
11989063260,1467951878,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
11989063260,1467951842,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1467951878,25583975,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1467951878,11989063260,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1467951878,1467951831,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25583975,1467951878,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1467951831,1467951878,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1467951831,1467951867,0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
25583811,6533422566,0,-12.264150943396226,-12.264150943396226,-3.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
25583811,476288515,0,-14.264150943396226,-14.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-2.547169811320755,-2.7169811320754715,0.0,0.0,0.0
25583811,25584019,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
6533422566,7198248641,0,-12.459561299380287,-12.459561299380287,-3.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11186974789915971,-0.04974890144381683,0.0,0.0,0.0,-8.0,-0.08354060808489995,-1.6590395592199148,-2.7169811320754715,0.0,0.0,0.0
6533422566,6533422564,0,-6.112514393242053,-0.11251439324205315,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19470617406397217,0.0,0.0,10.0,0.0,-0.19470617406397217,0.0,0.0,0.0,-9.917808219178081,0.0
6533422566,25583811,0,-12.264150943396226,-12.264150943396226,-3.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
476288515,6533422569,0,-14.264150943396226,-14.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-2.547169811320755,-2.7169811320754715,0.0,0.0,0.0
476288515,6533422562,0,-4.917808219178081,1.082191780821919,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-9.917808219178081,1.0
476288515,25583811,0,-14.264150943396226,-14.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-2.547169811320755,-2.7169811320754715,0.0,0.0,0.0
476288515,6533422564,0,-4.917808219178081,1.082191780821919,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-9.917808219178081,1.0
25584019,25583811,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
25584019,10900905230,0,-13.264150943396226,-13.264150943396226,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
7198248641,6839388921,0,-12.264150943396226,-12.264150943396226,-3.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
7198248641,6533422566,0,-12.459561299380287,-12.459561299380287,-3.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11186974789915971,-0.04974890144381683,0.0,0.0,0.0,-8.0,-0.08354060808489995,-1.6590395592199148,-2.7169811320754715,0.0,0.0,0.0
6533422564,476288515,0,-4.917808219178081,1.082191780821919,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-9.917808219178081,1.0
6533422564,6533422565,0,-5.917808219178081,0.08219178082191902,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,-9.917808219178081,0.0
6533422564,6533422566,0,-6.112514393242053,-0.11251439324205315,0.0,0.0,0.0,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.19470617406397217,0.0,0.0,10.0,0.0,-0.19470617406397217,0.0,0.0,0.0,-9.917808219178081,0.0
6839388921,1336598182,0,-12.264150943396226,-12.264150943396226,-3.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
6839388921,7198248641,0,-12.264150943396226,-12.264150943396226,-3.0,-1.0,-1.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,-1.5471698113207548,-2.7169811320754715,0.0,0.0,0.0
25583898,6369607704,0,-14.414045794821662,-14.414045794821662,-3.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025839793281653756,-0.07387548406315159,-1.0,0.0,0.0,-9.0,-0.12405505814378284,-1.5730096046024085,-3.7169811320754715,0.0,0.0,0.0
