relative_distance,relative_discomfort_weighted,relative_discomfort,beta,adm4_pcode,adm4_en
1.7072504589602435,0.0,0.4833148404834726,0,PH137401027,Wack-wack Greenhills
1.7168607585966447,0.48331055468087747,0.48331055468087747,1,PH137401027,Wack-wack Greenhills
1.7180925904082587,0.9671145324963925,0.4835572662481962,2,PH137401027,Wack-wack Greenhills
1.7237151503714556,1.4544933139923224,0.48483110466410756,3,PH137401027,Wack-wack Greenhills
1.452006641831807,0.0,0.5227982536733082,0,PH137401009,Daang Bakal
1.4676366469570974,0.5151544654567656,0.5151544654567656,1,PH137401009,Daang Bakal
1.4744988799563203,1.0217585291198217,0.5108792645599108,2,PH137401009,Daang Bakal
1.4754623032674947,1.53096137334188,0.5103204577806298,3,PH137401009,Daang Bakal
1.4954843650244733,0.0,0.5659845986285732,0,PH137401023,Pleasant Hills
1.4955516516975529,0.5600490522022497,0.5600490522022497,1,PH137401023,Pleasant Hills
1.5007542643526077,1.1205305966409336,0.5602652983204668,2,PH137401023,Pleasant Hills
1.5170462996271532,1.6745695445771511,0.5581898481923804,3,PH137401023,Pleasant Hills
1.2959397053620314,0.0,0.6384590225228154,0,PH137401004,Barangka Ibaba
1.2959397053620314,0.6384590225228154,0.6384590225228154,1,PH137401004,Barangka Ibaba
1.2959397053620314,1.2769180450456308,0.6384590225228154,2,PH137401004,Barangka Ibaba
1.2959397053620314,1.915377067568442,0.6384590225228154,3,PH137401004,Barangka Ibaba
2.284112977877072,0.0,0.48922896281328526,0,PH137401005,Barangka Ilaya
2.279801125879274,0.49932804047209595,0.49932804047209595,1,PH137401005,Barangka Ilaya
2.276159562649003,0.9872951132688369,0.49364755663441845,2,PH137401005,Barangka Ilaya
2.2787775284818994,1.4828346707644988,0.49427822358816476,3,PH137401005,Barangka Ilaya
1.5311532963678498,0.0,0.6129837569277761,0,PH137401021,Pag-asa
1.5363426067650987,0.6077513538737411,0.6077513538737411,1,PH137401021,Pag-asa
1.5464053860991356,1.2079166274059698,0.6039583137029849,2,PH137401021,Pag-asa
1.5490445552370178,1.8100526679943083,0.6033508893314361,3,PH137401021,Pag-asa
1.4178041411930997,0.0,0.47054171597858496,0,PH137401003,Barangka Drive
1.4389324730494366,0.4553363985026293,0.4553363985026293,1,PH137401003,Barangka Drive
1.471200120568659,0.9029163962930101,0.45145819814650506,2,PH137401003,Barangka Drive
1.4915739681485902,1.3491169205176394,0.44970564017254794,3,PH137401003,Barangka Drive
1.7740161004039474,0.0,0.5090609998562365,0,PH137401016,Malamig
1.8119744620293756,0.4929160431594153,0.4929160431594153,1,PH137401016,Malamig
1.8703029296231972,0.97296280893508,0.48648140446754,2,PH137401016,Malamig
1.8899496043971948,1.4549785761261833,0.48499285870872744,3,PH137401016,Malamig
1.5986369448414026,0.0,0.5178991486689284,0,PH137401011,Hagdang Bato Libis
1.6386288541263236,0.5090368681653586,0.5090368681653586,1,PH137401011,Hagdang Bato Libis
1.647395932798408,1.0070543174300424,0.5035271587150212,2,PH137401011,Hagdang Bato Libis
1.6461562508086967,1.5063912384675229,0.5021304128225067,3,PH137401011,Hagdang Bato Libis
1.7328274075165653,0.0,0.5657374706819979,0,PH137401001,Addition Hills
1.7827004663358907,0.5564295206665486,0.5564295206665486,1,PH137401001,Addition Hills
1.8314663863947678,1.1024989583237481,0.5512494791618741,2,PH137401001,Addition Hills
1.850828565500508,1.645921492518176,0.5486404975060613,3,PH137401001,Addition Hills
1.2569265022858873,0.0,0.6860489285759181,0,PH137401008,Buayang Bato
1.2569311936801948,0.6860492044432773,0.6860492044432773,1,PH137401008,Buayang Bato
1.2569311936801948,1.3720984088865547,0.6860492044432773,2,PH137401008,Buayang Bato
1.2569311936801948,2.0581476133298313,0.6860492044432773,3,PH137401008,Buayang Bato
1.6610844599123928,0.0,0.43983610168487663,0,PH137401013,Highway Hills
1.6672941878721999,0.4387884611487293,0.4387884611487293,1,PH137401013,Highway Hills
1.6772801892221783,0.8753903882164404,0.4376951941082202,2,PH137401013,Highway Hills
1.6973342065488919,1.311006003832352,0.43700200127744865,3,PH137401013,Highway Hills
1.782219585925052,0.0,0.494409729696783,0,PH137401012,Harapin Ang Bukas
1.7839579082750086,0.4925169799865425,0.4925169799865425,1,PH137401012,Harapin Ang Bukas
1.784632182495243,0.9843194292195084,0.4921597146097542,2,PH137401012,Harapin Ang Bukas
1.7859602788992515,1.474831100289,0.4916103667630017,3,PH137401012,Harapin Ang Bukas
3.1674323951726913,0.0,0.49832723425297126,0,PH137401026,Vergara
3.1763467220429056,0.48590359315191406,0.48590359315191406,1,PH137401026,Vergara
3.1830072737813415,0.967719910233843,0.4838599551169215,2,PH137401026,Vergara
3.1902641114925814,1.447731115365548,0.4825770384551828,3,PH137401026,Vergara
1.4252662309737802,0.0,0.5444995413036998,0,PH137401017,Mauway
1.434973458544366,0.5446286177643455,0.5446286177643455,1,PH137401017,Mauway
1.4502458181739082,1.0900765076630474,0.5450382538315237,2,PH137401017,Mauway
1.4619118929144195,1.6359920871272366,0.5453306957090731,3,PH137401017,Mauway
2.0040918114579807,0.0,0.5999482743208423,0,PH137401006,Barangka Itaas
2.0171798432476704,0.5891315201970903,0.5891315201970903,1,PH137401006,Barangka Itaas
2.025036363422404,1.1735272373153254,0.5867636186576627,2,PH137401006,Barangka Itaas
2.0297261318599222,1.758155176318166,0.5860517254393882,3,PH137401006,Barangka Itaas
1.5055287212799113,0.0,0.608781439796624,0,PH137401002,Bagong Silang
1.5260987199615688,0.5957787668404854,0.5957787668404854,1,PH137401002,Bagong Silang
