relative_distance,relative_discomfort_weighted,relative_discomfort,beta,adm4_pcode,adm4_en
2.3792115134278307,0.0,0.5999455220872061,0,PH137401027,Wack-wack Greenhills
2.420224381003864,0.5979932359808594,0.5979932359808594,1,PH137401027,Wack-wack Greenhills
2.488812514708594,1.189758508679511,0.5948792543397555,2,PH137401027,Wack-wack Greenhills
2.5723978971876815,1.7815921213191697,0.5938640404397253,3,PH137401027,Wack-wack Greenhills
1.4406051830831967,0.0,0.5422580361321914,0,PH137401009,Daang Bakal
1.5015312275055777,0.47675486897948827,0.47675486897948827,1,PH137401009,Daang Bakal
1.5482485520919371,0.9159667503676178,0.4579833751838089,2,PH137401009,Daang Bakal
1.5744136775171431,1.3483652687921521,0.4494550895973858,3,PH137401009,Daang Bakal
1.4581323982995125,0.0,0.6807153461229054,0,PH137401023,Pleasant Hills
1.4743564713092223,0.67074537480771,0.67074537480771,1,PH137401023,Pleasant Hills
1.4866773985207655,1.3334461299526736,0.6667230649763368,2,PH137401023,Pleasant Hills
1.4895404881779628,1.997902966510052,0.6659676555033528,3,PH137401023,Pleasant Hills
1.2955222612695125,0.0,0.7182134337427772,0,PH137401004,Barangka Ibaba
1.2955222612695125,0.7182134337427772,0.7182134337427772,1,PH137401004,Barangka Ibaba
1.2955222612695125,1.4364268674855545,0.7182134337427772,2,PH137401004,Barangka Ibaba
1.2955222612695125,2.1546403012283233,0.7182134337427772,3,PH137401004,Barangka Ibaba
1.5265446860103793,0.0,0.6720501543690037,0,PH137401005,Barangka Ilaya
1.5459374373664536,0.6388158979289967,0.6388158979289967,1,PH137401005,Barangka Ilaya
1.5725192561524444,1.2591849902375318,0.6295924951187659,2,PH137401005,Barangka Ilaya
1.581326293209978,1.8828025816048526,0.6276008605349466,3,PH137401005,Barangka Ilaya
1.5295013721438016,0.0,0.6763301970447205,0,PH137401021,Pag-asa
1.5383053279185248,0.6671063871839251,0.6671063871839251,1,PH137401021,Pag-asa
1.5514220079956607,1.3255664675330499,0.6627832337665249,2,PH137401021,Pag-asa
1.555047426265205,1.98306423384502,0.6610214112816696,3,PH137401021,Pag-asa
1.5338334177958803,0.0,0.5096331967372758,0,PH137401003,Barangka Drive
1.5945002922465634,0.43982678694515126,0.43982678694515126,1,PH137401003,Barangka Drive
1.6282204703413905,0.8371721425304559,0.41858607126522795,2,PH137401003,Barangka Drive
1.6470608582396278,1.2202612072460317,0.4067537357486747,3,PH137401003,Barangka Drive
1.6028779554105088,0.0,0.5105029463023575,0,PH137401016,Malamig
1.6527571013916253,0.4857957553086071,0.4857957553086071,1,PH137401016,Malamig
1.6913855880201727,0.9508353928937456,0.4754176964468728,2,PH137401016,Malamig
1.7062220454414536,1.4163021138122402,0.47210070460407905,3,PH137401016,Malamig
1.6044669086600039,0.0,0.5853993732222988,0,PH137401011,Hagdang Bato Libis
1.6480440199717183,0.5747918334862236,0.5747918334862236,1,PH137401011,Hagdang Bato Libis
1.6624530946016673,1.1326849035444861,0.5663424517722431,2,PH137401011,Hagdang Bato Libis
1.6710889423188553,1.693754924006834,0.5645849746689439,3,PH137401011,Hagdang Bato Libis
1.915648586823651,0.0,0.6407699925613907,0,PH137401001,Addition Hills
1.9441688613035935,0.6327753130917835,0.6327753130917835,1,PH137401001,Addition Hills
1.986633913232946,1.252538890653952,0.626269445326976,2,PH137401001,Addition Hills
2.055919931868385,1.8561332361184675,0.6187110787061569,3,PH137401001,Addition Hills
1.2607379773969463,0.0,0.8228846948660102,0,PH137401008,Buayang Bato
1.260742565368708,0.8228847675221806,0.8228847675221806,1,PH137401008,Buayang Bato
1.260742565368708,1.6457695350443613,0.8228847675221806,2,PH137401008,Buayang Bato
1.260742565368708,2.468654302566541,0.8228847675221806,3,PH137401008,Buayang Bato
1.7287914363960302,0.0,0.6084343382777596,0,PH137401013,Highway Hills
1.76220457806533,0.613694344582063,0.613694344582063,1,PH137401013,Highway Hills
1.7822823003111925,1.2224312678819176,0.6112156339409588,2,PH137401013,Highway Hills
1.8240133527994404,1.8302122391017213,0.6100707463672413,3,PH137401013,Highway Hills
1.7916635895690125,0.0,0.6058458666229009,0,PH137401012,Harapin Ang Bukas
1.81371712498623,0.5814049555834417,0.5814049555834417,1,PH137401012,Harapin Ang Bukas
1.8235650072646004,1.1537528640356614,0.5768764320178307,2,PH137401012,Harapin Ang Bukas
1.8338447790601582,1.7201445844884202,0.5733815281628065,3,PH137401012,Harapin Ang Bukas
3.1723191616443964,0.0,0.7861755646970605,0,PH137401026,Vergara
3.181216148950656,0.7826842921056112,0.7826842921056112,1,PH137401026,Vergara
3.190245450457577,1.5640986937151875,0.7820493468575938,2,PH137401026,Vergara
3.199812001930644,2.3445106916495115,0.7815035638831688,3,PH137401026,Vergara
1.451071991473593,0.0,0.6187890638527878,0,PH137401017,Mauway
1.4885239608887584,0.6046719805482805,0.6046719805482805,1,PH137401017,Mauway
1.513420771295916,1.1891395750603946,0.5945697875301973,2,PH137401017,Mauway
1.5234165062204243,1.7782956081940577,0.5927652027313555,3,PH137401017,Mauway
1.8741651637723014,0.0,0.7155377430765893,0,PH137401006,Barangka Itaas
1.877029050001058,0.7152584282630581,0.7152584282630581,1,PH137401006,Barangka Itaas
1.8770650262912862,1.43050544562568,0.71525272281284,2,PH137401006,Barangka Itaas
1.877176859643477,2.1457153206302344,0.7152384402100784,3,PH137401006,Barangka Itaas
1.5186325419739626,0.0,0.5537538419473768,0,PH137401002,Bagong Silang
1.5603761302922,0.4973932942236208,0.4973932942236208,1,PH137401002,Bagong Silang
