image_id,latitude,longitude,captured_at,camera_type
1544518876281926,14.571784699998,121.0471818,1709857486574,perspective
287769854170451,14.5779382,121.051345,1709857580538,perspective
1581622365923164,14.5786476,121.0520895,1709857596504,perspective
1178418303141782,14.572767800002,121.04766889998,1709857498539,perspective
955587949250125,14.5807055,121.0533918,1709857627862,perspective
712898221031851,14.576464,121.0503756,1709857546475,perspective
751030610325943,14.583770300001,121.0555752,1709857673048,perspective
369522269250116,14.5840458,121.0557225,1709857678568,perspective
402956229091553,14.577261799998,121.05083058306,1709857562469,perspective
921139056417099,14.5763752,121.0503354,1709857545537,perspective
1914400949010623,14.574877299999,121.04942339991,1709857527554,perspective
439611218501289,14.574270788298,121.0489888,1709857519482,perspective
1235869007818149,14.573853,121.04861111111,1709857513454,perspective
3016304758506204,14.5726895,121.0476227,1709857497544,perspective
910570334135610,14.579086900002,121.0524128,1709857605476,perspective
946422256881329,14.578535699999,121.052006,1709857593470,perspective
256301047542608,14.578279400002,121.051737,1709857587440,perspective
776891170992155,14.582611225188,121.0548063,1709857657026,perspective
870709801480791,14.577349900002,121.0508881,1709857564455,perspective
2451043191765391,14.572471400002,121.047527808,1709857494456,perspective
1305504623507272,14.577305,121.0508615,1709857563436,perspective
944421966887923,14.5790304,121.0523767,1709857604538,perspective
828215635989478,14.581867400002,121.05393518519,1709857642494,perspective
374179478807183,14.5787845,121.0521992,1709857599469,perspective
374711865457611,14.579282299999,121.0525449,1709857608448,perspective
3558567431140689,14.581168100003,121.0536816,1709857634532,perspective
415492987553057,14.577609299999,121.0511181,1709857572539,perspective
922183176301033,14.585538599998,121.0562273,1709857733509,perspective
929796281793889,14.5803148,121.0532369,1709857621470,perspective
2167247050279646,14.574964100002,121.04947729988,1709857528507,perspective
1429297411046490,14.584614197531,121.0558879,1709857695479,perspective
1506180226605634,14.585362700002,121.0561206,1709857726546,perspective
940451401125334,14.572401400002,121.0474938,1709857493527,perspective
281850234933847,14.5771225,121.0507423,1709857559523,perspective
287761964184140,14.5837125,121.0555348,1709857671516,perspective
1521867075336045,14.5779958,121.0513939,1709857581445,perspective
1723679621454455,14.580909,121.0535126,1709857630802,perspective
417005250978834,14.584554600002,121.0558701,1709857694446,perspective
1101026974468500,14.585633100003,121.0562743,1709857737509,perspective
1454706535477707,14.584204699998,121.0557746,1709857682484,perspective
315701674457472,14.584004600002,121.05571428571,1709857677452,perspective
1065028841272581,14.577712200002,121.051187,1709857575502,perspective
1332513770772215,14.5784466,121.0519268,1709857591535,perspective
813514103937688,14.5797688,121.0528908,1709857614502,perspective
372769148969331,14.5754968,121.0498177,1709857534540,perspective
429571389641460,14.583919,121.0556821,1709857675514,perspective
1096673678117619,14.5792158,121.05249719416,1709857607487,perspective
953575019820536,14.585666,121.0562928,1709857738475,perspective
3583680238566821,14.582530599998,121.05471947195,1709857654451,perspective
907316174472499,14.5757396,121.0499783,1709857537485,perspective
932897751964841,14.5857032,121.0563109,1709857739548,perspective
730122672558187,14.5830948,121.0551751,1709857664318,perspective
2666074890222279,14.5737145,121.0484769,1709857511511,perspective
2107416439611052,14.5830168,121.0551289,1709857662481,perspective
1140591056857609,14.572850199997,121.0477216,1709857499476,perspective
425820629903570,14.584340600002,121.055813,1709857690544,perspective
1097765951265805,14.5786916,121.0521239,1709857597521,perspective
930610635035671,14.5834164,121.0553798,1709857668317,perspective
367991359482446,14.573375,121.0481109,1709857506545,perspective
1590654168390486,14.5847125,121.0559213,1709857697498,perspective
1446701502892055,14.583770300001,121.0555752,1709857672447,perspective
1128622335159672,14.583255900003,121.05527777778,1709857666160,perspective
1505223840062638,14.5782075,121.0516232,1709857585472,perspective
1121491195852893,14.580246700003,121.0532002,1709857620470,perspective
380197758141058,14.5850392,121.0560164,1709857712563,perspective
1044315846633391,14.577076899998,121.0507154,1709857558503,perspective
1614527455959891,14.584872700001,121.0559696,1709857703513,perspective
763580182385898,14.5766952,121.0504969,1709857549572,perspective
1466245754328167,14.583824699998,121.0556164,1709857673510,perspective
1109010920144635,14.5794315,121.0526557,1709857610538,perspective
1399174487634175,14.574786699998,121.0493663,1709857526557,perspective
1888050644945221,14.585633100003,121.0562743,1709857737887,perspective
784155016895679,14.5834164,121.0553798,1709857667521,perspective
322779187457996,14.582653099999,121.05484850922,1709857657524,perspective
366993389627076,14.576545100002,121.05041739998,1709857547516,perspective
917471203435176,14.579854,121.0529447,1709857616006,perspective
746381330800033,14.579596899999,121.0527694,1709857612485,perspective
1612586179517206,14.580976100001,121.0535564,1709857632185,perspective
356966130657494,14.583255900003,121.05527777778,1709857665448,perspective
749130913858080,14.5825712,121.0547615,1709857655549,perspective
1469305756991755,14.5807724,121.0534287,1709857629359,perspective
426977759808838,14.5775388,121.0510537,1709857570517,perspective
1146880696652976,14.572617700001,121.0475824,1709857496482,perspective
401714045902925,14.585127299999,121.0560434,1709857716497,perspective
1183969673009929,14.584838499664,121.0559582,1709857702513,perspective
201090466431044,14.576623900002,121.050457,1709857548513,perspective
1192375111732941,14.577424900001,121.0509484,1709857566473,perspective
919149512999521,14.5754132,121.0497691,1709857533482,perspective
421614700440348,14.584976099998,121.0559982,1709857706535,perspective
853018466582467,14.580448200002,121.0532901,1709857624460,perspective
1375787336406463,14.582240300001,121.0544197,1709857648481,perspective
2975494005919094,14.581043399998,121.0536014,1709857632612,perspective
914985246991717,14.5854372,121.0561692,1709857729518,perspective
1081297039746973,14.583874200002,121.0556529,1709857674995,perspective
1079633213252150,14.580448200002,121.0532901,1709857623546,perspective
7255453124571771,14.585460699998,121.056184,1709857730542,perspective
675367937929269,14.585169100002,121.0560507,1709857718522,perspective
1079762129804336,14.5719495,121.0472588,1709857488495,perspective
923066602615734,14.574698899999,121.049309,1709857525540,perspective
942146250516350,14.57951410001,121.0527106,1709857611488,perspective
1080576466554978,14.585251699998,121.0560664,1709857722511,perspective
1749294462147005,14.573926699997,121.048677,1709857514541,perspective
1325922051406663,14.579682100001,121.0528347,1709857613481,perspective
915061063633104,14.582856699999,121.0550156,1709857660496,perspective
945445670534964,14.578161699999,121.0515635,1709857584484,perspective
3780477022184479,14.5735742,121.0483286,1709857509487,perspective
306339049132585,14.583824699998,121.0556164,1709857674277,perspective
427613259631715,14.580176200002,121.0531584,1709857619501,perspective
3390002414624978,14.583497,121.05541949959,1709857668617,perspective
3721028021489914,14.5774805,121.0509959,1709857568535,perspective
381134077992311,14.572543899998,121.0475514,1709857495505,perspective
423166793571228,14.578109699999,121.0515069,1709857583539,perspective
739686401266875,14.57454,121.0492087,1709857523452,perspective
936125991205638,14.5785785,121.0520358,1709857594416,perspective
1598637354258484,14.585510099944,121.0562139,1709857732575,perspective
429998036161865,14.578246099999,121.051681,1709857586472,perspective
1481578722775619,14.579355799997,121.0525994,1709857609513,perspective
421822627169381,14.576974200002,121.0506594,1709857556452,perspective
1078168310067683,14.585081300813,121.0560303,1709857714486,perspective
1112871293076051,14.582780528053,121.0549515,1709857659449,perspective
888693273057110,14.576792300001,121.0505585002,1709857551474,perspective
936421201293150,14.580022899999,121.0530506,1709857617983,perspective
2716624558502322,14.574400900002,121.0490965,1709857521530,perspective
728259576148152,14.5783176,121.0517872,1709857588487,perspective
260183470509979,14.5784896,121.0519694,1709857592538,perspective
1445800209694295,14.578052805281,121.0514439,1709857582559,perspective
924084396058426,14.584277900012,121.0558018,1709857688544,perspective
7403184856413815,14.5759035,121.050072,1709857539511,perspective
323983867344753,14.577028,121.05068790004,1709857557504,perspective
1176544379978142,14.582611225188,121.0548063,1709857656478,perspective
398075806164492,14.585412600002,121.0561531,1709857728542,perspective
708387691481344,14.5821925,121.0543551,1709857647514,perspective
771553781603264,14.577833899998,121.0512664,1709857578505,perspective
313596445058711,14.5733068,121.048038,1709857505549,perspective
1217822802529296,14.580976100001,121.0535564,1709857631533,perspective
374212778710485,14.582488600003,121.0546831,1709857653455,perspective
377139568608364,14.578929399998,121.0523041,1709857602719,perspective
428112943008876,14.580383597884,121.053265,1709857622479,perspective
374627205458168,14.572039700002,121.0473015,1709857489689,perspective
1105761170665154,14.5774536,121.0509694,1709857567469,perspective
281896434931150,14.584909100002,121.0559813,1709857704546,perspective
1563542241090723,14.5855835,121.05624930207,1709857735551,perspective
708076784861084,14.585305300002,121.0560889,1709857724553,perspective
601903478810902,14.578882,121.0522636,1709857602402,perspective
935948691469520,14.574338300001,121.0490421,1709857520546,perspective
733598072230777,14.576751099998,121.0505344,1709857550572,perspective
365687976438732,14.575232099999,121.0496496,1709857531477,perspective
1685199015343048,14.573079700002,121.0478631,1709857502509,perspective
938338754552038,14.5820675,121.0542158,1709857645416,perspective
955518412585920,14.581231900002,121.0537148,1709857636188,perspective
876876684448205,14.582347,121.0545446,1709857650516,perspective
1076692593559231,14.5788324,121.0522292,1709857600504,perspective
1107710320478132,14.583178600002,121.055226,1709857664668,perspective
1143045243389961,14.583497,121.05541949959,1709857669002,perspective
368557236066822,14.581043399998,121.0536014,1709857633294,perspective
817609720137199,14.584669099998,121.0559079,1709857696510,perspective
